ID,Punto_Partida,Punto_Llegada,Distancia (km),Tiempo (min),Precio (S/),Empresa_Courier
1D10,Miraflores,Ventanilla,21.14,75,13,Olva Courier
1D10,Miraflores,Ventanilla,21.14,107,17,Serpost
1D10,Miraflores,Ventanilla,21.14,30,13,DHL Express Perú
1D11,La Molina,Miraflores,22.98,101,15,Olva Courier
1D11,La Molina,Miraflores,22.98,65,9,Serpost
1D11,La Molina,Miraflores,22.98,79,9,DHL Express Perú
1D12,Mi Perú,Chorrillos,5.08,46,22,Olva Courier
1D12,Mi Perú,Chorrillos,5.08,81,16,Serpost
1D12,Mi Perú,Chorrillos,5.08,73,13,DHL Express Perú
1D13,El Agustino,La Perla,7.56,62,21,Olva Courier
1D13,El Agustino,La Perla,7.56,30,10,Serpost
1D13,El Agustino,La Perla,7.56,59,17,DHL Express Perú
1D14,San Martín de Porres,San Miguel,6.09,57,26,Olva Courier
1D14,San Martín de Porres,San Miguel,6.09,51,25,Serpost
1D14,San Martín de Porres,San Miguel,6.09,41,16,DHL Express Perú
1D15,Miraflores,Villa María del Triunfo,11.36,47,13,Olva Courier
1D15,Miraflores,Villa María del Triunfo,11.36,18,16,Serpost
1D15,Miraflores,Villa María del Triunfo,11.36,70,14,DHL Express Perú
1D16,Chorrillos,Santa Anita,29.4,123,26,Olva Courier
1D16,Chorrillos,Santa Anita,29.4,98,18,Serpost
1D16,Chorrillos,Santa Anita,29.4,81,12,DHL Express Perú
1D17,Villa María del Triunfo,Villa El Salvador,17.52,47,18,Olva Courier
1D17,Villa María del Triunfo,Villa El Salvador,17.52,66,21,Serpost
1D17,Villa María del Triunfo,Villa El Salvador,17.52,117,23,DHL Express Perú
1D18,San Juan de Miraflores,San Bartolo,20.51,46,15,Olva Courier
1D18,San Juan de Miraflores,San Bartolo,20.51,123,23,Serpost
1D18,San Juan de Miraflores,San Bartolo,20.51,46,15,DHL Express Perú
1D19,Santa Anita,Ventanilla,5.55,70,15,Olva Courier
1D19,Santa Anita,Ventanilla,5.55,115,20,Serpost
1D19,Santa Anita,Ventanilla,5.55,63,14,DHL Express Perú
1D20,Lurín,San Juan de Lurigancho,26.01,93,22,Olva Courier
1D20,Lurín,San Juan de Lurigancho,26.01,66,25,Serpost
1D20,Lurín,San Juan de Lurigancho,26.01,80,17,DHL Express Perú
1D21,Lince,Santa Anita,5.75,96,23,Olva Courier
1D21,Lince,Santa Anita,5.75,101,19,Serpost
1D21,Lince,Santa Anita,5.75,38,18,DHL Express Perú
1D22,La Victoria,Cieneguilla,27.63,95,14,Olva Courier
1D22,La Victoria,Cieneguilla,27.63,41,15,Serpost
1D22,La Victoria,Cieneguilla,27.63,52,18,DHL Express Perú
1D23,La Molina,San Martín de Porres,11.1,123,13,Olva Courier
1D23,La Molina,San Martín de Porres,11.1,27,16,Serpost
1D23,La Molina,San Martín de Porres,11.1,98,14,DHL Express Perú
1D24,Cercado de Lima,Callao,14.29,21,23,Olva Courier
1D24,Cercado de Lima,Callao,14.29,115,14,Serpost
1D24,Cercado de Lima,Callao,14.29,66,23,DHL Express Perú
1D25,San Juan de Miraflores,Lince,14.62,98,16,Olva Courier
1D25,San Juan de Miraflores,Lince,14.62,28,24,Serpost
1D25,San Juan de Miraflores,Lince,14.62,117,19,DHL Express Perú
1D26,Miraflores,Lurigancho,17.94,94,14,Olva Courier
1D26,Miraflores,Lurigancho,17.94,55,17,Serpost
1D26,Miraflores,Lurigancho,17.94,114,18,DHL Express Perú
1D27,Santa Rosa,Miraflores,28.47,38,19,Olva Courier
1D27,Santa Rosa,Miraflores,28.47,115,16,Serpost
1D27,Santa Rosa,Miraflores,28.47,115,24,DHL Express Perú
1D28,Lurín,Pucusana,8.1,47,15,Olva Courier
1D28,Lurín,Pucusana,8.1,117,18,Serpost
1D28,Lurín,Pucusana,8.1,75,15,DHL Express Perú
1D29,Chorrillos,Ate,17.41,66,20,Olva Courier
1D29,Chorrillos,Ate,17.41,70,13,Serpost
1D29,Chorrillos,Ate,17.41,45,14,DHL Express Perú
1D30,Santa María del Mar,Santa Rosa,19.97,31,11,Olva Courier
1D30,Santa María del Mar,Santa Rosa,19.97,83,14,Serpost
1D30,Santa María del Mar,Santa Rosa,19.97,111,21,DHL Express Perú
1D31,La Perla,La Perla,24.64,73,25,Olva Courier
1D31,La Perla,La Perla,24.64,54,16,Serpost
1D31,La Perla,La Perla,24.64,107,19,DHL Express Perú
1D32,Callao,Independencia,23.85,31,21,Olva Courier
1D32,Callao,Independencia,23.85,81,17,Serpost
1D32,Callao,Independencia,23.85,21,24,DHL Express Perú
1D33,La Molina,Chorrillos,13.08,46,15,Olva Courier
1D33,La Molina,Chorrillos,13.08,22,22,Serpost
1D33,La Molina,Chorrillos,13.08,106,20,DHL Express Perú
1D34,Ancón,Pucusana,13.73,97,16,Olva Courier
1D34,Ancón,Pucusana,13.73,60,16,Serpost
1D34,Ancón,Pucusana,13.73,53,13,DHL Express Perú
1D35,Villa María del Triunfo,Santa María del Mar,25.86,72,13,Olva Courier
1D35,Villa María del Triunfo,Santa María del Mar,25.86,91,16,Serpost
1D35,Villa María del Triunfo,Santa María del Mar,25.86,27,24,DHL Express Perú
1D36,Santa Rosa,La Victoria,19.2,73,20,Olva Courier
1D36,Santa Rosa,La Victoria,19.2,53,18,Serpost
1D36,Santa Rosa,La Victoria,19.2,30,13,DHL Express Perú
1D37,El Agustino,San Isidro,24.99,38,13,Olva Courier
1D37,El Agustino,San Isidro,24.99,79,15,Serpost
1D37,El Agustino,San Isidro,24.99,55,22,DHL Express Perú
1D38,Carmen de la Legua Reynoso,Punta Hermosa,10.93,53,12,Olva Courier
1D38,Carmen de la Legua Reynoso,Punta Hermosa,10.93,47,20,Serpost
1D38,Carmen de la Legua Reynoso,Punta Hermosa,10.93,44,14,DHL Express Perú
1D39,San Luis,Lince,17.61,75,21,Olva Courier
1D39,San Luis,Lince,17.61,37,18,Serpost
1D39,San Luis,Lince,17.61,52,16,DHL Express Perú
1D40,La Perla,San Juan de Lurigancho,12.24,113,14,Olva Courier
1D40,La Perla,San Juan de Lurigancho,12.24,109,17,Serpost
1D40,La Perla,San Juan de Lurigancho,12.24,39,13,DHL Express Perú
1D41,San Isidro,Lince,25.0,51,12,Olva Courier
1D41,San Isidro,Lince,25.0,68,13,Serpost
1D41,San Isidro,Lince,25.0,99,25,DHL Express Perú
1D42,Pachacámac,Santiago de Surco,24.3,73,18,Olva Courier
1D42,Pachacámac,Santiago de Surco,24.3,112,23,Serpost
1D42,Pachacámac,Santiago de Surco,24.3,60,21,DHL Express Perú
1D43,Santiago de Surco,Villa El Salvador,19.25,31,24,Olva Courier
1D43,Santiago de Surco,Villa El Salvador,19.25,107,24,Serpost
1D43,Santiago de Surco,Villa El Salvador,19.25,93,20,DHL Express Perú
1D44,Los Olivos,Bellavista,12.82,50,21,Olva Courier
1D44,Los Olivos,Bellavista,12.82,80,15,Serpost
1D44,Los Olivos,Bellavista,12.82,60,24,DHL Express Perú
1D45,Carabayllo,La Molina,16.04,29,20,Olva Courier
1D45,Carabayllo,La Molina,16.04,96,13,Serpost
1D45,Carabayllo,La Molina,16.04,58,25,DHL Express Perú
1D46,Punta Negra,Comas,18.93,75,22,Olva Courier
1D46,Punta Negra,Comas,18.93,44,16,Serpost
1D46,Punta Negra,Comas,18.93,42,15,DHL Express Perú
1D47,La Punta,Santa María del Mar,13.64,38,23,Olva Courier
1D47,La Punta,Santa María del Mar,13.64,83,22,Serpost
1D47,La Punta,Santa María del Mar,13.64,96,12,DHL Express Perú
1D48,Punta Negra,Breña,11.38,75,21,Olva Courier
1D48,Punta Negra,Breña,11.38,115,15,Serpost
1D48,Punta Negra,Breña,11.38,72,21,DHL Express Perú
1D49,Punta Negra,Ate,5.83,116,26,Olva Courier
1D49,Punta Negra,Ate,5.83,93,23,Serpost
1D49,Punta Negra,Ate,5.83,120,13,DHL Express Perú
1D50,San Martín de Porres,Carmen de la Legua Reynoso,5.92,43,16,Olva Courier
1D50,San Martín de Porres,Carmen de la Legua Reynoso,5.92,58,20,Serpost
1D50,San Martín de Porres,Carmen de la Legua Reynoso,5.92,94,16,DHL Express Perú
1D51,La Punta,Santa Anita,20.09,55,18,Olva Courier
1D51,La Punta,Santa Anita,20.09,74,21,Serpost
1D51,La Punta,Santa Anita,20.09,94,21,DHL Express Perú
1D52,Cieneguilla,La Molina,26.18,73,16,Olva Courier
1D52,Cieneguilla,La Molina,26.18,98,16,Serpost
1D52,Cieneguilla,La Molina,26.18,105,12,DHL Express Perú
1D53,Villa El Salvador,Villa El Salvador,7.29,43,15,Olva Courier
1D53,Villa El Salvador,Villa El Salvador,7.29,86,16,Serpost
1D53,Villa El Salvador,Villa El Salvador,7.29,33,17,DHL Express Perú
1D54,San Luis,Miraflores,29.34,111,16,Olva Courier
1D54,San Luis,Miraflores,29.34,100,14,Serpost
1D54,San Luis,Miraflores,29.34,38,17,DHL Express Perú
1D55,Carabayllo,Puente Piedra,23.11,119,15,Olva Courier
1D55,Carabayllo,Puente Piedra,23.11,54,20,Serpost
1D55,Carabayllo,Puente Piedra,23.11,18,15,DHL Express Perú
1D56,Miraflores,San Juan de Miraflores,16.2,62,13,Olva Courier
1D56,Miraflores,San Juan de Miraflores,16.2,73,15,Serpost
1D56,Miraflores,San Juan de Miraflores,16.2,76,16,DHL Express Perú
1D57,Miraflores,Santa Anita,17.74,32,15,Olva Courier
1D57,Miraflores,Santa Anita,17.74,54,15,Serpost
1D57,Miraflores,Santa Anita,17.74,107,12,DHL Express Perú
1D58,Ancón,Miraflores,26.35,47,18,Olva Courier
1D58,Ancón,Miraflores,26.35,55,17,Serpost
1D58,Ancón,Miraflores,26.35,72,9,DHL Express Perú
1D59,Rímac,Santa María del Mar,14.08,101,18,Olva Courier
1D59,Rímac,Santa María del Mar,14.08,37,26,Serpost
1D59,Rímac,Santa María del Mar,14.08,109,20,DHL Express Perú
1D60,Callao,Cieneguilla,11.3,81,13,Olva Courier
1D60,Callao,Cieneguilla,11.3,65,16,Serpost
1D60,Callao,Cieneguilla,11.3,110,17,DHL Express Perú
1D61,El Agustino,Santiago de Surco,14.85,32,11,Olva Courier
1D61,El Agustino,Santiago de Surco,14.85,88,21,Serpost
1D61,El Agustino,Santiago de Surco,14.85,116,14,DHL Express Perú
1D62,Puente Piedra,Lurín,13.89,41,23,Olva Courier
1D62,Puente Piedra,Lurín,13.89,117,19,Serpost
1D62,Puente Piedra,Lurín,13.89,118,17,DHL Express Perú
1D63,Miraflores,Santiago de Surco,19.07,98,24,Olva Courier
1D63,Miraflores,Santiago de Surco,19.07,119,19,Serpost
1D63,Miraflores,Santiago de Surco,19.07,49,19,DHL Express Perú
1D64,Miraflores,Bellavista,11.68,29,22,Olva Courier
1D64,Miraflores,Bellavista,11.68,121,22,Serpost
1D64,Miraflores,Bellavista,11.68,120,23,DHL Express Perú
1D65,San Isidro,Callao,18.53,80,13,Olva Courier
1D65,San Isidro,Callao,18.53,83,17,Serpost
1D65,San Isidro,Callao,18.53,73,22,DHL Express Perú
1D66,Surquillo,Callao,21.59,91,20,Olva Courier
1D66,Surquillo,Callao,21.59,92,15,Serpost
1D66,Surquillo,Callao,21.59,87,17,DHL Express Perú
1D67,El Agustino,San Luis,21.27,46,14,Olva Courier
1D67,El Agustino,San Luis,21.27,96,23,Serpost
1D67,El Agustino,San Luis,21.27,80,24,DHL Express Perú
1D68,Magdalena del Mar,Lince,18.82,44,16,Olva Courier
1D68,Magdalena del Mar,Lince,18.82,108,21,Serpost
1D68,Magdalena del Mar,Lince,18.82,77,12,DHL Express Perú
1D69,Magdalena del Mar,San Miguel,12.04,94,16,Olva Courier
1D69,Magdalena del Mar,San Miguel,12.04,104,17,Serpost
1D69,Magdalena del Mar,San Miguel,12.04,49,14,DHL Express Perú
1D70,Carmen de la Legua Reynoso,Chorrillos,13.54,61,18,Olva Courier
1D70,Carmen de la Legua Reynoso,Chorrillos,13.54,95,15,Serpost
1D70,Carmen de la Legua Reynoso,Chorrillos,13.54,84,12,DHL Express Perú
1D71,Breña,Los Olivos,17.21,49,15,Olva Courier
1D71,Breña,Los Olivos,17.21,93,24,Serpost
1D71,Breña,Los Olivos,17.21,97,17,DHL Express Perú
1D72,Cercado de Lima,Puente Piedra,23.01,102,23,Olva Courier
1D72,Cercado de Lima,Puente Piedra,23.01,30,25,Serpost
1D72,Cercado de Lima,Puente Piedra,23.01,104,12,DHL Express Perú
1D73,Pueblo Libre,Pachacámac,10.61,101,21,Olva Courier
1D73,Pueblo Libre,Pachacámac,10.61,101,16,Serpost
1D73,Pueblo Libre,Pachacámac,10.61,98,25,DHL Express Perú
1D74,Santa Rosa,Callao,16.89,31,17,Olva Courier
1D74,Santa Rosa,Callao,16.89,105,21,Serpost
1D74,Santa Rosa,Callao,16.89,117,15,DHL Express Perú
1D75,Bellavista,San Bartolo,12.83,57,14,Olva Courier
1D75,Bellavista,San Bartolo,12.83,91,11,Serpost
1D75,Bellavista,San Bartolo,12.83,67,12,DHL Express Perú
1D76,Jesús María,Punta Hermosa,15.79,114,13,Olva Courier
1D76,Jesús María,Punta Hermosa,15.79,75,15,Serpost
1D76,Jesús María,Punta Hermosa,15.79,120,14,DHL Express Perú
1D77,Pachacámac,Villa El Salvador,19.87,72,13,Olva Courier
1D77,Pachacámac,Villa El Salvador,19.87,22,16,Serpost
1D77,Pachacámac,Villa El Salvador,19.87,53,24,DHL Express Perú
1D78,Callao,Jesús María,9.29,40,15,Olva Courier
1D78,Callao,Jesús María,9.29,91,12,Serpost
1D78,Callao,Jesús María,9.29,85,12,DHL Express Perú
1D79,Villa María del Triunfo,Mi Perú,11.84,86,14,Olva Courier
1D79,Villa María del Triunfo,Mi Perú,11.84,76,20,Serpost
1D79,Villa María del Triunfo,Mi Perú,11.84,62,16,DHL Express Perú
1D80,Santa María del Mar,Carabayllo,28.59,30,15,Olva Courier
1D80,Santa María del Mar,Carabayllo,28.59,59,25,Serpost
1D80,Santa María del Mar,Carabayllo,28.59,98,17,DHL Express Perú
1D81,La Molina,Cieneguilla,18.67,48,11,Olva Courier
1D81,La Molina,Cieneguilla,18.67,18,18,Serpost
1D81,La Molina,Cieneguilla,18.67,70,19,DHL Express Perú
1D82,Ate,El Agustino,8.48,111,16,Olva Courier
1D82,Ate,El Agustino,8.48,99,22,Serpost
1D82,Ate,El Agustino,8.48,36,25,DHL Express Perú
1D83,Rímac,Lurigancho,15.71,61,15,Olva Courier
1D83,Rímac,Lurigancho,15.71,26,25,Serpost
1D83,Rímac,Lurigancho,15.71,91,21,DHL Express Perú
1D84,Surquillo,Santa Anita,21.78,122,19,Olva Courier
1D84,Surquillo,Santa Anita,21.78,41,15,Serpost
1D84,Surquillo,Santa Anita,21.78,123,24,DHL Express Perú
1D85,Bellavista,Ancón,28.5,117,23,Olva Courier
1D85,Bellavista,Ancón,28.5,68,23,Serpost
1D85,Bellavista,Ancón,28.5,44,16,DHL Express Perú
1D86,Barranco,San Isidro,22.86,67,19,Olva Courier
1D86,Barranco,San Isidro,22.86,102,21,Serpost
1D86,Barranco,San Isidro,22.86,72,12,DHL Express Perú
1D87,San Bartolo,La Molina,25.19,80,18,Olva Courier
1D87,San Bartolo,La Molina,25.19,85,13,Serpost
1D87,San Bartolo,La Molina,25.19,86,18,DHL Express Perú
1D88,Cieneguilla,Magdalena del Mar,16.48,121,12,Olva Courier
1D88,Cieneguilla,Magdalena del Mar,16.48,89,23,Serpost
1D88,Cieneguilla,Magdalena del Mar,16.48,75,16,DHL Express Perú
1D89,Lurigancho,Ancón,6.76,32,15,Olva Courier
1D89,Lurigancho,Ancón,6.76,41,25,Serpost
1D89,Lurigancho,Ancón,6.76,18,20,DHL Express Perú
1D90,Jesús María,San Juan de Miraflores,27.15,91,21,Olva Courier
1D90,Jesús María,San Juan de Miraflores,27.15,60,19,Serpost
1D90,Jesús María,San Juan de Miraflores,27.15,100,20,DHL Express Perú
1D91,Rímac,Puente Piedra,15.6,35,10,Olva Courier
1D91,Rímac,Puente Piedra,15.6,56,18,Serpost
1D91,Rímac,Puente Piedra,15.6,95,19,DHL Express Perú
1D92,Villa María del Triunfo,Miraflores,26.36,94,16,Olva Courier
1D92,Villa María del Triunfo,Miraflores,26.36,109,17,Serpost
1D92,Villa María del Triunfo,Miraflores,26.36,69,15,DHL Express Perú
1D93,Santiago de Surco,Cercado de Lima,22.49,35,15,Olva Courier
1D93,Santiago de Surco,Cercado de Lima,22.49,37,21,Serpost
1D93,Santiago de Surco,Cercado de Lima,22.49,62,19,DHL Express Perú
1D94,Magdalena del Mar,Puente Piedra,19.96,60,15,Olva Courier
1D94,Magdalena del Mar,Puente Piedra,19.96,83,15,Serpost
1D94,Magdalena del Mar,Puente Piedra,19.96,33,23,DHL Express Perú
1D95,Carmen de la Legua Reynoso,Callao,8.48,58,21,Olva Courier
1D95,Carmen de la Legua Reynoso,Callao,8.48,70,18,Serpost
1D95,Carmen de la Legua Reynoso,Callao,8.48,117,18,DHL Express Perú
1D96,Santiago de Surco,Independencia,27.04,106,17,Olva Courier
1D96,Santiago de Surco,Independencia,27.04,103,18,Serpost
1D96,Santiago de Surco,Independencia,27.04,49,18,DHL Express Perú
1D97,Chorrillos,Villa El Salvador,14.89,114,22,Olva Courier
1D97,Chorrillos,Villa El Salvador,14.89,45,13,Serpost
1D97,Chorrillos,Villa El Salvador,14.89,94,22,DHL Express Perú
1D98,Surquillo,Ventanilla,16.25,31,21,Olva Courier
1D98,Surquillo,Ventanilla,16.25,88,23,Serpost
1D98,Surquillo,Ventanilla,16.25,62,15,DHL Express Perú
1D99,Santa Anita,Pucusana,27.93,73,13,Olva Courier
1D99,Santa Anita,Pucusana,27.93,73,13,Serpost
1D99,Santa Anita,Pucusana,27.93,49,14,DHL Express Perú
1D100,La Perla,San Juan de Lurigancho,12.96,121,24,Olva Courier
1D100,La Perla,San Juan de Lurigancho,12.96,104,13,Serpost
1D100,La Perla,San Juan de Lurigancho,12.96,114,24,DHL Express Perú
1D101,Ate,San Martín de Porres,14.09,32,13,Olva Courier
1D101,Ate,San Martín de Porres,14.09,109,13,Serpost
1D101,Ate,San Martín de Porres,14.09,93,15,DHL Express Perú
1D102,Punta Hermosa,Miraflores,28.62,32,12,Olva Courier
1D102,Punta Hermosa,Miraflores,28.62,33,17,Serpost
1D102,Punta Hermosa,Miraflores,28.62,94,11,DHL Express Perú
1D103,Cieneguilla,Surquillo,21.21,111,24,Olva Courier
1D103,Cieneguilla,Surquillo,21.21,81,24,Serpost
1D103,Cieneguilla,Surquillo,21.21,99,14,DHL Express Perú
1D104,Los Olivos,Santa Rosa,13.87,67,24,Olva Courier
1D104,Los Olivos,Santa Rosa,13.87,39,18,Serpost
1D104,Los Olivos,Santa Rosa,13.87,43,12,DHL Express Perú
1D105,Rímac,Pueblo Libre,26.57,103,19,Olva Courier
1D105,Rímac,Pueblo Libre,26.57,94,21,Serpost
1D105,Rímac,Pueblo Libre,26.57,73,20,DHL Express Perú
1D106,Pachacámac,Independencia,6.82,51,18,Olva Courier
1D106,Pachacámac,Independencia,6.82,47,23,Serpost
1D106,Pachacámac,Independencia,6.82,61,13,DHL Express Perú
1D107,San Juan de Miraflores,Villa María del Triunfo,20.26,74,12,Olva Courier
1D107,San Juan de Miraflores,Villa María del Triunfo,20.26,79,18,Serpost
1D107,San Juan de Miraflores,Villa María del Triunfo,20.26,111,14,DHL Express Perú
1D108,Cercado de Lima,Villa María del Triunfo,21.95,37,19,Olva Courier
1D108,Cercado de Lima,Villa María del Triunfo,21.95,45,17,Serpost
1D108,Cercado de Lima,Villa María del Triunfo,21.95,109,16,DHL Express Perú
1D109,Santa María del Mar,La Victoria,6.48,111,26,Olva Courier
1D109,Santa María del Mar,La Victoria,6.48,120,15,Serpost
1D109,Santa María del Mar,La Victoria,6.48,92,16,DHL Express Perú
1D110,Cieneguilla,Magdalena del Mar,14.24,95,17,Olva Courier
1D110,Cieneguilla,Magdalena del Mar,14.24,95,10,Serpost
1D110,Cieneguilla,Magdalena del Mar,14.24,94,20,DHL Express Perú
1D111,La Punta,Callao,12.13,46,15,Olva Courier
1D111,La Punta,Callao,12.13,42,13,Serpost
1D111,La Punta,Callao,12.13,49,14,DHL Express Perú
1D112,Santiago de Surco,Villa El Salvador,19.74,31,13,Olva Courier
1D112,Santiago de Surco,Villa El Salvador,19.74,84,14,Serpost
1D112,Santiago de Surco,Villa El Salvador,19.74,60,10,DHL Express Perú
1D113,Comas,Villa María del Triunfo,26.77,78,18,Olva Courier
1D113,Comas,Villa María del Triunfo,26.77,106,13,Serpost
1D113,Comas,Villa María del Triunfo,26.77,75,19,DHL Express Perú
1D114,Pucusana,Pachacámac,8.74,104,16,Olva Courier
1D114,Pucusana,Pachacámac,8.74,100,10,Serpost
1D114,Pucusana,Pachacámac,8.74,107,12,DHL Express Perú
1D115,Surquillo,Santa Rosa,29.68,20,10,Olva Courier
1D115,Surquillo,Santa Rosa,29.68,49,18,Serpost
1D115,Surquillo,Santa Rosa,29.68,29,19,DHL Express Perú
1D116,Los Olivos,Ate,23.64,85,21,Olva Courier
1D116,Los Olivos,Ate,23.64,38,12,Serpost
1D116,Los Olivos,Ate,23.64,48,9,DHL Express Perú
1D117,Breña,Cieneguilla,17.5,73,23,Olva Courier
1D117,Breña,Cieneguilla,17.5,27,21,Serpost
1D117,Breña,Cieneguilla,17.5,19,16,DHL Express Perú
1D118,San Borja,Villa El Salvador,11.22,63,23,Olva Courier
1D118,San Borja,Villa El Salvador,11.22,93,20,Serpost
1D118,San Borja,Villa El Salvador,11.22,24,26,DHL Express Perú
1D119,Lince,Los Olivos,26.62,116,20,Olva Courier
1D119,Lince,Los Olivos,26.62,78,14,Serpost
1D119,Lince,Los Olivos,26.62,74,20,DHL Express Perú
1D120,Lurigancho,San Bartolo,29.78,91,21,Olva Courier
1D120,Lurigancho,San Bartolo,29.78,50,22,Serpost
1D120,Lurigancho,San Bartolo,29.78,124,23,DHL Express Perú
1D121,Punta Hermosa,Villa María del Triunfo,25.71,117,22,Olva Courier
1D121,Punta Hermosa,Villa María del Triunfo,25.71,62,23,Serpost
1D121,Punta Hermosa,Villa María del Triunfo,25.71,54,15,DHL Express Perú
1D122,San Bartolo,San Borja,12.08,86,20,Olva Courier
1D122,San Bartolo,San Borja,12.08,64,25,Serpost
1D122,San Bartolo,San Borja,12.08,37,14,DHL Express Perú
1D123,La Victoria,Lince,26.9,105,19,Olva Courier
1D123,La Victoria,Lince,26.9,72,20,Serpost
1D123,La Victoria,Lince,26.9,90,19,DHL Express Perú
1D124,El Agustino,San Juan de Miraflores,19.89,52,11,Olva Courier
1D124,El Agustino,San Juan de Miraflores,19.89,65,21,Serpost
1D124,El Agustino,San Juan de Miraflores,19.89,81,21,DHL Express Perú
1D125,Mi Perú,Villa El Salvador,27.35,59,25,Olva Courier
1D125,Mi Perú,Villa El Salvador,27.35,106,17,Serpost
1D125,Mi Perú,Villa El Salvador,27.35,64,22,DHL Express Perú
1D126,Santiago de Surco,La Victoria,16.61,98,19,Olva Courier
1D126,Santiago de Surco,La Victoria,16.61,73,17,Serpost
1D126,Santiago de Surco,La Victoria,16.61,67,16,DHL Express Perú
1D127,San Isidro,San Borja,21.28,121,14,Olva Courier
1D127,San Isidro,San Borja,21.28,108,13,Serpost
1D127,San Isidro,San Borja,21.28,83,17,DHL Express Perú
1D128,San Juan de Miraflores,San Luis,8.1,42,16,Olva Courier
1D128,San Juan de Miraflores,San Luis,8.1,52,9,Serpost
1D128,San Juan de Miraflores,San Luis,8.1,75,10,DHL Express Perú
1D129,Carmen de la Legua Reynoso,Lince,22.98,50,24,Olva Courier
1D129,Carmen de la Legua Reynoso,Lince,22.98,35,26,Serpost
1D129,Carmen de la Legua Reynoso,Lince,22.98,57,14,DHL Express Perú
1D130,Los Olivos,El Agustino,19.83,68,12,Olva Courier
1D130,Los Olivos,El Agustino,19.83,94,20,Serpost
1D130,Los Olivos,El Agustino,19.83,77,10,DHL Express Perú
1D131,San Martín de Porres,Villa El Salvador,19.32,39,16,Olva Courier
1D131,San Martín de Porres,Villa El Salvador,19.32,91,21,Serpost
1D131,San Martín de Porres,Villa El Salvador,19.32,110,12,DHL Express Perú
1D132,Carabayllo,Callao,19.53,48,12,Olva Courier
1D132,Carabayllo,Callao,19.53,42,21,Serpost
1D132,Carabayllo,Callao,19.53,110,25,DHL Express Perú
1D133,Bellavista,El Agustino,14.46,89,21,Olva Courier
1D133,Bellavista,El Agustino,14.46,44,10,Serpost
1D133,Bellavista,El Agustino,14.46,67,19,DHL Express Perú
1D134,Barranco,Comas,18.39,33,19,Olva Courier
1D134,Barranco,Comas,18.39,74,16,Serpost
1D134,Barranco,Comas,18.39,123,14,DHL Express Perú
1D135,Barranco,Ventanilla,15.01,45,15,Olva Courier
1D135,Barranco,Ventanilla,15.01,36,26,Serpost
1D135,Barranco,Ventanilla,15.01,46,24,DHL Express Perú
1D136,Pueblo Libre,San Juan de Lurigancho,22.84,54,20,Olva Courier
1D136,Pueblo Libre,San Juan de Lurigancho,22.84,115,24,Serpost
1D136,Pueblo Libre,San Juan de Lurigancho,22.84,112,21,DHL Express Perú
1D137,Ate,Pueblo Libre,27.57,74,25,Olva Courier
1D137,Ate,Pueblo Libre,27.57,60,18,Serpost
1D137,Ate,Pueblo Libre,27.57,36,24,DHL Express Perú
1D138,San Luis,Comas,11.16,79,13,Olva Courier
1D138,San Luis,Comas,11.16,109,18,Serpost
1D138,San Luis,Comas,11.16,46,25,DHL Express Perú
1D139,La Perla,Bellavista,25.6,35,22,Olva Courier
1D139,La Perla,Bellavista,25.6,113,23,Serpost
1D139,La Perla,Bellavista,25.6,25,16,DHL Express Perú
